GEOID,CBSA,basename,NAME,LSADC,AREALAND,AREAWATER,lat,lng
10180,10180,"Abilene, TX","Abilene, TX Metro Area",M1,7105669734,36754978,32.4520222,-99.7187428
10380,10380,"Aguadilla, PR","Aguadilla, PR Metro Area",M1,769383281,354396433,18.391555,-67.0972023
10420,10420,"Akron, OH","Akron, OH Metro Area",M1,2331351433,62042598,41.1466395,-81.3501104
10500,10500,"Albany, GA","Albany, GA Metro Area",M1,4120798650,46035863,31.6446859,-84.1107184
10540,10540,"Albany, OR","Albany, OR Metro Area",M1,5929797331,50146297,44.4888982,-122.5372084
10580,10580,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY Metro Area",M1,7282571671,171996748,42.7879202,-73.9423479
10740,10740,"Albuquerque, NM","Albuquerque, NM Metro Area",M1,24043814909,31882183,35.1234965,-106.4583918
10780,10780,"Alexandria, LA","Alexandria, LA Metro Area",M1,5096657042,151518644,31.3253478,-92.5468034
10900,10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ Metro Area",M1,3763302206,58253775,40.7893392,-75.398158
11020,11020,"Altoona, PA","Altoona, PA Metro Area",M1,1359916303,3294804,40.4986828,-78.309597
11100,11100,"Amarillo, TX","Amarillo, TX Metro Area",M1,13341010285,84912898,35.2479988,-101.9086699
11180,11180,"Ames, IA","Ames, IA Metro Area",M1,2960371309,11069988,42.0361281,-93.6980079
11200,11200,"Amherst Town-Northampton, MA","Amherst Town-Northampton, MA Metro Area",M1,1365533877,46625893,42.33946,-72.6636919
11260,11260,"Anchorage, AK","Anchorage, AK Metro Area",M1,68411728021,2067458234,62.2127844,-149.6782218
11460,11460,"Ann Arbor, MI","Ann Arbor, MI Metro Area",M1,1828571110,42491927,42.2522168,-83.8434233
11500,11500,"Anniston-Oxford, AL","Anniston-Oxford, AL Metro Area",M1,1569256904,16525540,33.7705162,-85.8279089
11540,11540,"Appleton, WI","Appleton, WI Metro Area",M1,2475529665,222422501,44.2906032,-88.3723255
11640,11640,"Arecibo, PR","Arecibo, PR Metro Area",M1,613528958,231467260,18.439223900000002,-66.7599813
11700,11700,"Asheville, NC","Asheville, NC Metro Area",M1,3830732047,19333890,35.6163405,-82.5706835
